qid,Recall@10,NDCG@10,time
1,0.2,0.19518900079066107,527.909333507996
3,0.4,0.5384313152574521,518.9361836530734
5,0.7,0.7788065869851872,518.863032897003
13,0.3,0.3932783996463063,512.4724954519188
36,0.5,0.6235744328990731,520.6005072720582
42,0.6,0.715550648768261,521.2019286509603
48,0.6,0.7034066032439746,518.2349799729418
49,0.6,0.7058075148678526,517.0419721630169
50,0.5,0.627507133061656,516.4680781089701
51,0.2,0.3589542101716347,520.3380509329727
53,0.2,0.3589542101716347,515.9873007010901
54,0.6,0.6968404678259545,525.2363769210642
56,0.4,0.5100691314582919,519.8178324470064
57,0.3,0.42838543210841196,525.5358597079758
70,0.3,0.4690000933206748,525.9547728070756
72,0.3,0.42257499837058643,520.326896123006
75,0.8,0.8701249883466593,521.7572057138896
94,0.2,0.33013764944712026,514.8894048749935
99,0.1,0.22009176629808017,512.1029052210506
100,0.3,0.4690000933206748,511.0610040129395
113,0.7,0.7534494445524138,512.9468077600468
115,0.2,0.3589542101716347,514.8062536020298
118,0.4,0.5637884576902256,514.4158281750279
124,0.7,0.793584067764911,518.424605233944
127,0.3,0.4690000933206748,517.5423961479682
