qid,Recall@10,NDCG@10,time
1,0.1,0.11004588314904008,558.1622290839441
3,0.7,0.7909506325094737,393.7676521020475
5,0.5,0.642186726668901,701.3922083359212
13,0.1,0.08514311764162098,359.925463401014
36,0.9,0.933745776545611,358.48747789894696
42,0.4,0.49118023727106,365.21865148691
48,0.6,0.5806020001118019,719.9210422170581
49,0.6,0.715550648768261,692.9149923529476
50,0.6,0.7065836017263629,367.15867010795046
51,0.2,0.2934556883974402,357.42511042708065
53,0.2,0.28952298823485745,356.2088209990179
54,0.5,0.6136525857537393,353.7931926960591
56,0.3,0.3785988060390612,366.0126135860337
57,0.2,0.3589542101716347,366.2035479119513
70,0.3,0.42838543210841196,689.4555047969334
72,0.4,0.5637884576902256,352.82997646392323
75,0.7,0.800693766409882,691.5707301800139
94,0.2,0.33013764944712026,403.427241686848
99,0.1,0.22009176629808017,508.3835428130115
100,0.5,0.6110191504983019,366.61503846698906
113,0.6,0.6871952210980248,361.4765993449837
115,0.2,0.28371255449703187,413.0239227860002
118,0.6,0.727329844310522,353.3140313018812
124,0.6,0.727329844310522,694.8356993800262
127,0.4,0.5473983622993502,376.80933444807306
