qid,Recall@10,NDCG@10,time
1,0.0,0.0,380.0600721899828
3,0.6,0.6870165078530993,353.6627370870119
5,0.3,0.4690000933206748,350.8133308069955
13,0.2,0.19518900079066107,353.08639027805475
36,0.8,0.8482378089219645,348.5781690229196
42,0.6,0.6578986223737446,350.1734428329946
48,0.6,0.6994739030813919,367.4033373230486
49,0.6,0.715550648768261,348.29332394205267
50,0.6,0.7151857987862356,361.33336535208224
51,0.2,0.2984900352767555,369.7763064629107
53,0.1,0.22009176629808017,347.6794894889172
54,0.6,0.6870165078530993,348.7390123430378
56,0.4,0.5541432109622958,350.7677476300014
57,0.2,0.33013764944712026,350.9497243580263
70,0.3,0.4537425745411855,414.36777518707095
72,0.3,0.4537425745411855,359.3616150129528
75,0.8,0.8701249883466593,380.60219644592144
94,0.1,0.22009176629808017,351.18367774003127
99,0.4,0.46664232174566633,364.81189382605953
100,0.3,0.4440973278132557,389.5511241460481
113,0.5,0.6274092458891772,381.9591854999744
115,0.1,0.22009176629808017,400.4675386989984
118,0.6,0.7222954974312066,382.5410987150099
124,0.7,0.800693766409882,384.7174675710121
127,0.4,0.5384313152574521,388.6115226350521
